SepalLength,SepalWidth,PetalLength,PetalWidth,Class
0.51,0.35,0.14,0.02,Iris-setosa
0.49,0.3,0.14,0.02,Iris-setosa
0.47,0.32,0.13,0.02,Iris-setosa
0.46,0.31,0.15,0.02,Iris-setosa
0.5,0.36,0.14,0.02,Iris-setosa
0.54,0.39,0.17,0.04,Iris-setosa
0.46,0.34,0.14,0.03,Iris-setosa
0.5,0.34,0.15,0.02,Iris-setosa
0.44,0.29,0.14,0.02,Iris-setosa
0.49,0.31,0.15,0.01,Iris-setosa
0.54,0.37,0.15,0.02,Iris-setosa
0.48,0.34,0.16,0.02,Iris-setosa
0.48,0.3,0.14,0.01,Iris-setosa
0.43,0.3,0.11,0.01,Iris-setosa
0.58,0.4,0.12,0.02,Iris-setosa
0.57,0.44,0.15,0.04,Iris-setosa
0.54,0.39,0.13,0.04,Iris-setosa
0.51,0.35,0.14,0.03,Iris-setosa
0.57,0.38,0.17,0.03,Iris-setosa
0.51,0.38,0.15,0.03,Iris-setosa
0.54,0.34,0.17,0.02,Iris-setosa
0.51,0.37,0.15,0.04,Iris-setosa
0.46,0.36,0.1,0.02,Iris-setosa
0.51,0.33,0.17,0.05,Iris-setosa
0.48,0.34,0.19,0.02,Iris-setosa
0.5,0.3,0.16,0.02,Iris-setosa
0.5,0.34,0.16,0.04,Iris-setosa
0.52,0.35,0.15,0.02,Iris-setosa
0.52,0.34,0.14,0.02,Iris-setosa
0.47,0.32,0.16,0.02,Iris-setosa
0.48,0.31,0.16,0.02,Iris-setosa
0.54,0.34,0.15,0.04,Iris-setosa
0.52,0.41,0.15,0.01,Iris-setosa
0.55,0.42,0.14,0.02,Iris-setosa
0.49,0.31,0.15,0.01,Iris-setosa
0.5,0.32,0.12,0.02,Iris-setosa
0.55,0.35,0.13,0.02,Iris-setosa
0.49,0.31,0.15,0.01,Iris-setosa
0.44,0.3,0.13,0.02,Iris-setosa
0.51,0.34,0.15,0.02,Iris-setosa
0.5,0.35,0.13,0.03,Iris-setosa
0.45,0.23,0.13,0.03,Iris-setosa
0.44,0.32,0.13,0.02,Iris-setosa
0.5,0.35,0.16,0.06,Iris-setosa
0.51,0.38,0.19,0.04,Iris-setosa
0.48,0.3,0.14,0.03,Iris-setosa
0.51,0.38,0.16,0.02,Iris-setosa
0.46,0.32,0.14,0.02,Iris-setosa
0.53,0.37,0.15,0.02,Iris-setosa
0.5,0.33,0.14,0.02,Iris-setosa
0.7,0.32,0.47,0.14,Iris-versicolor
0.64,0.32,0.45,0.15,Iris-versicolor
0.69,0.31,0.49,0.15,Iris-versicolor
0.55,0.23,0.4,0.13,Iris-versicolor
0.65,0.28,0.46,0.15,Iris-versicolor
0.57,0.28,0.45,0.13,Iris-versicolor
0.63,0.33,0.47,0.16,Iris-versicolor
0.49,0.24,0.33,0.1,Iris-versicolor
0.66,0.29,0.46,0.13,Iris-versicolor
0.52,0.27,0.39,0.14,Iris-versicolor
0.5,0.2,0.35,0.1,Iris-versicolor
0.59,0.3,0.42,0.15,Iris-versicolor
0.6,0.22,0.4,0.1,Iris-versicolor
0.61,0.29,0.47,0.14,Iris-versicolor
0.56,0.29,0.36,0.13,Iris-versicolor
0.67,0.31,0.44,0.14,Iris-versicolor
0.56,0.3,0.45,0.15,Iris-versicolor
0.58,0.27,0.41,0.1,Iris-versicolor
0.62,0.22,0.45,0.15,Iris-versicolor
0.56,0.25,0.39,0.11,Iris-versicolor
0.59,0.32,0.48,0.18,Iris-versicolor
0.61,0.28,0.4,0.13,Iris-versicolor
